source,target
750,3362
910,3362
1114,3361
1393,3361
742,3360
1622,3360
17,3358
1152,3358
1134,3357
402,3357
1409,3356
402,3356
0,3353
3096,3353
0,3352
1591,3352
2898,3348
1014,3348
2776,3345
2164,3345
2519,3343
1645,3343
1790,3340
2852,3340
1210,3339
606,3339
404,3338
1107,3338
0,3337
2425,3337
696,3336
1020,3336
2464,3334
2967,3334
1525,3332
1585,3332
2839,3330
492,3330
1592,3328
2228,3328
2035,3326
879,3326
2211,3324
2372,3324
1158,3322
2910,3322
3308,3321
864,3321
881,3320
1128,3320
2610,3318
522,3318
86,3317
1800,3317
693,3316
2218,3316
2557,3315
949,3315
3319,3314
3248,3314
8,3313
2803,3313
1161,3311
2064,3311
0,3309
2432,3309
538,3307
712,3307
0,3306
771,3306
2756,3305
2514,3305
1506,3302
1172,3302
0,3300
2260,3300
749,3299
2779,3299
723,3297
2595,3297
372,3296
772,3295
2279,3295
1642,3292
432,3290
2676,3290
767,3287
1949,3287
2314,3286
3128,3286
123,3284
1902,3284
2132,3279
352,3279
26,3276
2062,3276
1208,3275
2010,3275
0,3274
1633,3274
0,3271
672,3271
42,3268
1902,3268
1158,3267
1390,3267
2467,3266
2047,3266
1139,3263
1426,3263
1342,3262
1833,3262
1600,3261
2830,3261
0,3259
1306,3259
3113,3257
1089,3257
433,3256
2869,3256
2240,3253
763,3253
85,3251
1902,3251
936,3248
324,3248
14,3247
1152,3247
639,3246
1606,3246
2785,3242
1221,3242
1435,3239
2334,3239
3240,3238
2058,3238
39,3236
1902,3236
1577,3234
710,3234
2236,3233
55,3231
2197,3231
0,3230
1857,3230
1,3229
2005,3229
61,3335
1383,3335
72,3222
1155,3222
1473,3221
506,3221
3077,3303
2553,3303
2985,3219
931,3219
2854,3215
2075,3215
0,3213
2669,3213
0,3212
1032,3212
913,3211
1759,3211
1273,3210
2843,3210
2364,3208
556,3208
2003,3207
1916,3207
2368,3205
2282,3205
2322,3203
3135,3203
2886,3202
1983,3202
2842,3201
839,3201
2085,3196
2279,3196
2930,3194
2821,3194
1696,3193
885,3193
2848,3192
2305,3192
50,3191
2197,3191
2865,3188
1311,3188
1492,3186
2071,3186
1828,3183
2782,3183
894,3182
1738,3182
0,3181
1400,3181
0,3180
536,3180
2386,3179
101,3178
1902,3178
75,3177
1097,3177
1509,3176
1234,3176
2141,3172
733,3172
2909,3170
1639,3170
1651,3168
3281,3168
531,3165
610,3165
0,3164
811,3164
527,3162
1584,3162
2211,3159
3353,3159
2110,3156
1653,3156
3155,3154
1086,3154
2785,3151
359,3151
527,3149
1584,3149
934,3146
1916,3146
880,3144
3141,3144
911,3143
3320,3143
998,3142
2609,3142
2939,3139
2445,3139
2881,3138
1105,3138
778,3136
404,3133
1756,3133
2342,3130
1256,3130
497,3163
592,3163
55,3129
2120,3129
62,3127
1383,3127
71,3126
1155,3126
2930,3125
1008,3124
402,3124
2898,3121
1014,3121
1732,3120
1107,3120
101,3119
2705,3119
2389,3116
2721,3116
1945,3209
2402,3209
3256,3115
2816,3115
832,3114
2133,3114
120,3110
2001,3110
0,3109
2429,3109
972,3108
944,3108
9,3107
1902,3107
2666,3106
1530,3106
3221,3105
1198,3105
417,3104
2960,3104
1058,3102
2080,3102
1961,3101
2083,3101
2409,3099
1691,3099
2892,3097
2313,3097
0,3184
3237,3184
986,3096
755,3096
65,3095
1383,3095
1208,3094
2010,3094
1402,3092
634,3092
1625,3091
3062,3088
2052,3088
2497,3086
1059,3086
50,3085
2120,3085
1344,3084
380,3084
3358,3082
3003,3082
2893,3347
954,3347
3307,3081
954,3081
637,3080
2075,3080
2122,3079
551,3079
1649,3078
506,3078
938,3076
1756,3076
2776,3075
2164,3075
2729,3071
2196,3071
1491,3068
1107,3068
2862,3067
1107,3067
2211,3066
3359,3066
53,3065
2197,3065
1976,3063
853,3063
1517,3059
1535,3059
0,3057
335,3057
2499,3055
2836,3055
3089,3054
1086,3054
1195,3051
378,3051
665,3050
3143,3050
1456,3049
3340,3049
2055,3048
1394,3048
1749,3046
2576,3046
2195,3044
2311,3044
2487,3043
3268,3043
2536,3042
3060,3042
532,3040
2258,3040
1457,3039
444,3039
1623,3037
1265,3037
3312,3036
473,3036
0,3035
