source,target
1,3135
0,3135
2682,3135
2670,3134
1270,3132
2169,3131
840,3130
303,3129
1664,3128
2627,3128
2847,3126
845,3125
1476,3125
862,3124
1846,3124
3059,3122
2351,3122
414,3121
2965,3121
1818,3120
1153,3120
1826,3118
2381,3118
1016,3117
2974,3117
998,3115
854,3115
1787,3112
1,3111
0,3111
1098,3111
1,3109
0,3109
2547,3109
3110,3107
1520,3107
2913,3105
1948,3104
1385,3104
2866,3103
1558,3103
1,3102
0,3102
2070,3102
1833,3101
2897,3101
1,3099
0,3099
1857,3099
1978,3098
1520,3098
2774,3097
2133,3097
31,3096
696,3095
1850,3095
2481,3091
1,3090
0,3090
2779,3090
3031,3087
1237,3087
1216,3086
2664,3086
901,3085
3071,3085
1465,3084
2900,3084
549,3083
765,3083
2771,3082
2202,3082
3043,3080
1153,3080
1,3079
0,3079
1690,3079
2139,3077
2664,3077
731,3075
2351,3075
3126,3074
1153,3074
2048,3073
2508,3071
2572,3071
1,3070
0,3070
557,3070
1406,3069
1420,3069
647,3068
1494,3068
721,3065
350,3065
1550,3064
2133,3064
1342,3062
1765,3062
355,3061
1897,3061
2163,3060
1268,3060
1213,3059
996,3057
2000,3056
2862,3056
295,3055
1651,3093
2140,3093
1,3054
0,3054
1031,3054
1574,3053
2235,3053
3119,3051
588,3051
1,3050
0,3050
849,3050
915,3049
2246,3049
2931,3048
656,3048
33,3046
1,3045
0,3045
322,3045
2093,3043
2646,3042
2202,3042
2487,3041
1206,3041
1,3040
0,3040
2623,3040
2145,3038
1798,3037
369,3037
1962,3036
1520,3036
1435,3035
2133,3035
2080,3034
1347,3034
754,3033
1097,3033
369,3032
1991,3031
888,3031
2921,3025
2368,3025
1,3023
0,3023
583,3023
1170,3021
2496,3020
388,3020
1925,3019
2371,3018
1656,3013
1705,3011
3056,3011
1608,3010
98,3008
2367,3123
854,3123
1739,3006
1153,3006
1,3005
0,3005
2560,3005
1166,3004
1377,3004
2902,3003
1,3002
0,3002
2976,3002
2676,3001
1385,3001
1306,2999
2862,2999
1809,2998
2955,2998
2523,2997
2351,2997
2961,2996
1385,2996
2814,2995
3032,2995
1747,3047
2664,3047
1,2993
0,2993
1073,2993
443,2992
2258,2992
1846,2991
1153,2991
1372,2990
2758,2989
2132,2989
2891,2988
2468,2988
1404,2987
872,2986
1,2985
0,2985
2249,2985
3088,2984
1,2983
0,2983
2338,2983
682,2982
2258,2982
1561,2979
540,2979
1,2978
0,2978
2451,2978
1503,2977
456,2977
1118,2975
1420,2975
940,2974
1184,2974
504,2973
1603,2973
2728,2972
3120,2971
2732,2971
364,2968
2047,2968
328,2966
888,2966
1447,2964
2862,2964
2656,2963
2033,2960
2862,2960
1823,2959
819,2959
903,2957
2580,2957
1481,2956
2759,2956
2593,2955
2935,2954
1656,2954
1,2953
0,2953
464,2953
2594,2952
2235,2952
1460,2951
1,3027
0,3027
640,3027
1,2949
0,2949
3062,2949
2799,2947
2202,2947
629,2945
2862,2945
2667,2942
2116,2942
2698,2940
1737,2940
2392,2939
3091,2939
2561,2938
2932,2937
2202,2937
2310,2936
3035,2936
1,2935
0,2935
1757,2935
1,2933
0,2933
2462,2933
1043,2932
2076,2931
2166,2930
2615,2930
764,2929
888,2929
2020,2928
471,2928
3002,2927
1035,2925
2355,2925
908,2924
2422,2924
2939,2923
1206,2923
2584,2922
2671,2922
2717,2919
2944,2919
2887,2917
2805,2917
2145,2916
3111,2916
2633,2915
597,2914
338,2914
2382,2911
2202,2911
653,2908
1869,2908
1,2907
0,2907
2651,2907
2747,2906
2681,2906
2618,2905
2133,2905
2090,2903
2604,2903
1,2902
0,2902
994,2902
3049,2900
2258,2900
1026,2899
1520,2899
331,2898
1051,2897
1,2895
0,2895
2856,2895
799,2893
960,2893
2123,2892
1407,2892
2513,2887
1520,2887
2132,2886
1,2885
0,2885
2215,2885
1728,2883
2000,2883
602,2882
2351,2882
2314,2881
1378,2881
2879,2880
1737,2880
1983,2878
1117,2877
1206,2877
1056,2876
2511,2874
1896,2874
581,2872
1,2871
0,2871
745,2871
917,2869
1,2868
0,2868
1007,2868
1,2867
0,2867
1292,2867
82,2866
1,2864
0,2864
2142,2864
3021,2863
2681,2863
2664,2862
436,2861
3108,2860
1206,2860
2318,2859
495,2859
2328,2858
2802,2858
1484,2857
2862,2857
2031,2856
3121,2856
3045,2854
2541,2853
888,2853
2631,2852
2133,2852
1069,2848
2982,2848
857,2845
828,2845
2272,2844
318,2843
2202,2843
3070,2842
973,2842
2492,2841
2235,2841
2361,2839
2991,2836
1330,2836
1999,2835
1299,2835
1290,2833
633,2832
2620,2832
497,2831
2693,2830
1169,2830
1531,2829
1332,2829
3134,2828
2582,2828
1164,2827
1268,2827
2915,2826
1300,2826
1695,2824
2862,2824
1155,2823
1206,2823
2873,2822
2102,2822
2349,2820
3032,2820
442,2818
2435,2817
704,2817
1816,2815
1153,2815
1030,2814
1264,2814
719,2812
1737,2812
85,2811
426,2809
1,2808
0,2808
1832,2808
1,2807
0,2807
622,2807
1331,2806
2422,2806
718,2805
2965,2805
2304,2804
2235,2804
2791,2803
2605,2802
2422,2802
1572,2801
2630,2801
891,2799
415,3076
1897,3076
1,2796
0,2796
695,2796
1660,2795
2753,2795
2758,2793
1861,2792
2617,2792
1,2791
0,2791
2084,2791
2811,2790
2422,2790
1588,2788
1206,2788
1,2787
0,2787
587,2787
110,2786
1253,2785
2965,2785
945,2783
2133,2783
2882,2962
2307,2962
115,2782
3030,2781
2351,2781
1,2780
0,2780
1396,2780
2888,2778
1859,2778
1542,2777
2965,2777
1360,2776
2752,2776
1605,2775
3009,2775
664,2773
663,2773
1623,2772
332,2772
1357,2771
2683,2770
766,2767
531,2767
1228,2766
1393,2766
1,2913
0,2913
1083,2913
1774,2765
2118,2765
1107,2764
2188,2764
1087,2888
1,2763
0,2763
2537,2763
1599,2762
2965,2762
1770,2761
3071,2761
378,2760
1431,2760
612,2759
2862,2759
1,2758
0,2758
2690,2758
2713,2757
333,2755
899,2754
3032,2754
2601,2753
1015,2753
2270,2752
1184,2752
2697,2750
61,2749
3055,2748
1687,2748
1042,2747
3100,2746
1520,2746
315,2745
1897,2745
425,2744
311,2743
1420,2743
2535,2740
3072,2740
305,2739
2091,2739
1,2738
0,2738
892,2738
825,2736
1420,2736
785,2735
2381,2735
301,2732
2258,2732
2810,2731
2933,2731
1887,2730
2196,2730
2793,2729
2351,2729
1,2728
0,2728
769,2728
678,2727
1184,2727
852,2725
2235,2725
725,2724
1558,2724
2757,2723
2202,2723
2661,2722
779,2722
2058,2721
1976,2718
867,2718
1078,2717
729,3016
1469,2716
2400,2716
370,2715
3032,2715
2549,2714
2679,2714
1,2713
0,2713
623,2713
1,2712
0,2712
1581,2712
1,2711
0,2711
1613,2711
2288,2710
1520,2710
1,2709
0,2709
2219,2709
319,2708
2422,2708
1427,2707
2494,2707
2125,2705
300,2705
2870,2704
2457,2704
510,2703
668,2703
1831,2702
2884,2702
1,2700
0,2700
2925,2700
409,2699
2867,2698
2906,2696
431,2696
330,2694
1901,2694
678,2693
2202,2693
2400,2692
1184,2692
2126,2691
2381,2691
2729,2690
712,2690
1799,2689
1680,2686
1264,2686
1409,2685
2684,2685
1,2683
0,2683
2194,2683
2572,2681
2184,2681
1256,2680
2267,2680
1466,2891
2351,2891
566,2679
3090,2677
2796,2676
520,2675
979,2674
1013,2674
533,2673
1520,2673
2519,2671
2258,2671
1,2670
0,2670
1262,2670
1,2668
0,2668
2094,2668
1487,2667
804,2666
2919,2664
2508,2664
2359,2663
2854,2662
1737,2662
468,2661
1203,2660
2308,2660
674,2659
888,2659
438,2657
1,2656
0,2656
1584,2656
1632,2655
706,2655
2731,2652
1268,2652
2192,2651
2509,2651
1,2650
0,2650
1325,2650
1084,2649
2664,2649
1761,2648
2202,2648
2816,2647
1385,2647
1114,2646
946,2645
1882,2645
1711,2640
659,2640
2168,2639
868,2873
1153,2873
2908,2638
3032,2638
3016,2637
888,2637
1,2636
0,2636
1966,2636
2529,2635
2281,2635
2168,2634
1,2633
0,2633
756,2633
1250,2632
1268,2632
736,2631
1866,2631
2878,2630
1754,2630
2229,2628
867,2628
818,2627
2133,2627
1466,2626
2134,2626
1553,2624
2924,2624
1367,2623
1328,2623
1,2622
0,2622
2920,2622
1969,2621
1763,2621
1374,2619
1268,2619
1454,2617
1184,2617
360,2616
1669,2614
2095,2614
1,2612
0,2612
537,2612
825,2610
888,2610
1470,2609
1356,2609
2526,2608
1907,2608
723,2607
2681,2607
1590,2606
3094,2606
46,2605
2733,2604
72,2602
1203,2601
106,2601
2944,2599
1110,2599
2449,2598
1420,2598
1011,2596
2622,2594
1,2593
0,2593
1109,2593
514,2591
1650,2591
783,2590
2235,2590
761,2588
1406,2588
79,2586
432,2585
1051,2585
985,2584
588,2584
1,2583
0,2583
2973,2583
2808,2582
1965,2581
1350,2580
1206,2580
567,2579
3032,2579
554,2578
1520,2578
1373,2576
1,2575
0,2575
2640,2575
1,2574
0,2574
2625,2574
993,2573
786,2573
1606,3026
2681,3026
2944,2572
1078,2572
1502,2570
1496,2569
3076,2569
358,2568
3032,2568
1239,2567
2681,2567
514,2565
3067,2564
548,2564
1,2561
0,2561
2542,2561
605,2559
1104,2558
2136,2558
1939,2557
1048,2557
1,2556
0,2556
889,2556
1759,2555
1329,2553
2681,2553
1845,2552
2793,2551
3016,2551
909,2550
2852,2550
2021,2547
753,2547
894,2546
2422,2546
2756,2545
1982,2545
634,2544
2202,2544
2937,2543
2336,2543
2081,2542
708,2542
716,2541
2997,2537
2242,2537
2351,2536
1,2534
0,2534
2597,2534
342,2532
2297,2532
1273,2530
1080,2530
2528,2527
1268,2527
1369,2980
1922,2526
1118,2525
888,2525
2763,2523
2944,2522
568,2522
325,2774
678,2774
775,2654
1348,2654
3005,2521
1300,2520
888,2520
1025,2519
2657,2518
1897,2518
942,2516
2536,2516
3129,2515
1153,2515
