id,name,type_0,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10
0,n0,1,0,0,0,0,0,0,0,0,0,0
1,n1,1,0,0,0,0,0,0,0,0,0,0
2,n2,1,0,0,0,0,0,0,0,0,0,0
3,n3[0],1,0,0,0,0,0,0,0,0,0,0
4,n3[1],1,0,0,0,0,0,0,0,0,0,0
5,n3[2],1,0,0,0,0,0,0,0,0,0,0
6,n3[3],1,0,0,0,0,0,0,0,0,0,0
7,n3[4],1,0,0,0,0,0,0,0,0,0,0
8,n3[5],1,0,0,0,0,0,0,0,0,0,0
9,n3[6],1,0,0,0,0,0,0,0,0,0,0
10,n3[7],1,0,0,0,0,0,0,0,0,0,0
11,n3[8],1,0,0,0,0,0,0,0,0,0,0
12,n3[9],1,0,0,0,0,0,0,0,0,0,0
13,n3[10],1,0,0,0,0,0,0,0,0,0,0
14,n3[11],1,0,0,0,0,0,0,0,0,0,0
15,n3[12],1,0,0,0,0,0,0,0,0,0,0
16,n3[13],1,0,0,0,0,0,0,0,0,0,0
17,n3[14],1,0,0,0,0,0,0,0,0,0,0
18,n3[15],1,0,0,0,0,0,0,0,0,0,0
19,n3[16],1,0,0,0,0,0,0,0,0,0,0
20,n3[17],1,0,0,0,0,0,0,0,0,0,0
21,n3[18],1,0,0,0,0,0,0,0,0,0,0
22,n3[19],1,0,0,0,0,0,0,0,0,0,0
23,n3[20],1,0,0,0,0,0,0,0,0,0,0
24,n3[21],1,0,0,0,0,0,0,0,0,0,0
25,n3[22],1,0,0,0,0,0,0,0,0,0,0
26,n3[23],1,0,0,0,0,0,0,0,0,0,0
27,n3[24],1,0,0,0,0,0,0,0,0,0,0
28,n3[25],1,0,0,0,0,0,0,0,0,0,0
29,n3[26],1,0,0,0,0,0,0,0,0,0,0
30,n3[27],1,0,0,0,0,0,0,0,0,0,0
31,n3[28],1,0,0,0,0,0,0,0,0,0,0
32,n3[29],1,0,0,0,0,0,0,0,0,0,0
33,n3[30],1,0,0,0,0,0,0,0,0,0,0
34,n3[31],1,0,0,0,0,0,0,0,0,0,0
35,n4[0],1,0,0,0,0,0,0,0,0,0,0
36,n4[1],1,0,0,0,0,0,0,0,0,0,0
37,n4[2],1,0,0,0,0,0,0,0,0,0,0
38,n4[3],1,0,0,0,0,0,0,0,0,0,0
39,n4[4],1,0,0,0,0,0,0,0,0,0,0
40,n4[5],1,0,0,0,0,0,0,0,0,0,0
41,n4[6],1,0,0,0,0,0,0,0,0,0,0
42,n4[7],1,0,0,0,0,0,0,0,0,0,0
43,n4[8],1,0,0,0,0,0,0,0,0,0,0
44,n4[9],1,0,0,0,0,0,0,0,0,0,0
45,n4[10],1,0,0,0,0,0,0,0,0,0,0
46,n4[11],1,0,0,0,0,0,0,0,0,0,0
47,n4[12],1,0,0,0,0,0,0,0,0,0,0
48,n4[13],1,0,0,0,0,0,0,0,0,0,0
49,n4[14],1,0,0,0,0,0,0,0,0,0,0
50,n4[15],1,0,0,0,0,0,0,0,0,0,0
51,n4[16],1,0,0,0,0,0,0,0,0,0,0
52,n4[17],1,0,0,0,0,0,0,0,0,0,0
53,n4[18],1,0,0,0,0,0,0,0,0,0,0
54,n4[19],1,0,0,0,0,0,0,0,0,0,0
55,n4[20],1,0,0,0,0,0,0,0,0,0,0
56,n4[21],1,0,0,0,0,0,0,0,0,0,0
57,n4[22],1,0,0,0,0,0,0,0,0,0,0
58,n4[23],1,0,0,0,0,0,0,0,0,0,0
59,n4[24],1,0,0,0,0,0,0,0,0,0,0
60,n4[25],1,0,0,0,0,0,0,0,0,0,0
61,n4[26],1,0,0,0,0,0,0,0,0,0,0
62,n4[27],1,0,0,0,0,0,0,0,0,0,0
63,n4[28],1,0,0,0,0,0,0,0,0,0,0
64,n4[29],1,0,0,0,0,0,0,0,0,0,0
65,n4[30],1,0,0,0,0,0,0,0,0,0,0
66,n4[31],1,0,0,0,0,0,0,0,0,0,0
67,n5[0],1,0,0,0,0,0,0,0,0,0,0
68,n5[1],1,0,0,0,0,0,0,0,0,0,0
69,n5[2],1,0,0,0,0,0,0,0,0,0,0
70,n5[3],1,0,0,0,0,0,0,0,0,0,0
71,n5[4],1,0,0,0,0,0,0,0,0,0,0
72,n5[5],1,0,0,0,0,0,0,0,0,0,0
73,n5[6],1,0,0,0,0,0,0,0,0,0,0
74,n5[7],1,0,0,0,0,0,0,0,0,0,0
75,n5[8],1,0,0,0,0,0,0,0,0,0,0
76,n5[9],1,0,0,0,0,0,0,0,0,0,0
77,n5[10],1,0,0,0,0,0,0,0,0,0,0
78,n5[11],1,0,0,0,0,0,0,0,0,0,0
79,n5[12],1,0,0,0,0,0,0,0,0,0,0
80,n5[13],1,0,0,0,0,0,0,0,0,0,0
81,n5[14],1,0,0,0,0,0,0,0,0,0,0
82,n5[15],1,0,0,0,0,0,0,0,0,0,0
83,n5[16],1,0,0,0,0,0,0,0,0,0,0
84,n5[17],1,0,0,0,0,0,0,0,0,0,0
85,n5[18],1,0,0,0,0,0,0,0,0,0,0
86,n5[19],1,0,0,0,0,0,0,0,0,0,0
87,n5[20],1,0,0,0,0,0,0,0,0,0,0
88,n5[21],1,0,0,0,0,0,0,0,0,0,0
89,n5[22],1,0,0,0,0,0,0,0,0,0,0
90,n5[23],1,0,0,0,0,0,0,0,0,0,0
91,n5[24],1,0,0,0,0,0,0,0,0,0,0
92,n5[25],1,0,0,0,0,0,0,0,0,0,0
93,n5[26],1,0,0,0,0,0,0,0,0,0,0
94,n5[27],1,0,0,0,0,0,0,0,0,0,0
95,n5[28],1,0,0,0,0,0,0,0,0,0,0
96,n5[29],1,0,0,0,0,0,0,0,0,0,0
97,n5[30],1,0,0,0,0,0,0,0,0,0,0
98,n5[31],1,0,0,0,0,0,0,0,0,0,0
99,n6[0],1,0,0,0,0,0,0,0,0,0,0
100,n6[1],1,0,0,0,0,0,0,0,0,0,0
101,n6[2],1,0,0,0,0,0,0,0,0,0,0
102,n6[3],1,0,0,0,0,0,0,0,0,0,0
103,n7[0],1,0,0,0,0,0,0,0,0,0,0
104,n7[1],1,0,0,0,0,0,0,0,0,0,0
105,n7[2],1,0,0,0,0,0,0,0,0,0,0
106,n7[3],1,0,0,0,0,0,0,0,0,0,0
107,n8[0],1,0,0,0,0,0,0,0,0,0,0
108,n8[1],1,0,0,0,0,0,0,0,0,0,0
