id,name,feature_0,feature_1,feature_2
0,n0,0,2147483647,1
1,n1,0,2147483647,1
2,n2,2147483647,1,4
3,g0,0,0,1
4,g1,0,0,1
5,g2,0,0,1
6,g3,0,0,1
7,g4,0,0,1
8,g5,0,0,1
9,g6,0,0,1
10,g7,0,0,1
11,g8,0,0,1
12,g9,0,0,1
13,g10,0,0,1
14,g11,0,0,1
15,g12,0,0,1
16,g13,0,0,1
17,g14,0,0,1
18,g15,0,0,1
19,g16,0,0,1
20,g17,0,0,1
21,g18,0,0,1
22,g19,0,0,1
23,g20,0,0,1
24,g21,0,0,1
25,g22,0,0,1
26,g23,0,0,1
27,g24,0,0,1
28,g25,0,0,1
29,g26,0,0,1
30,g27,0,0,1
31,g28,0,0,1
32,g29,0,0,1
33,g30,0,0,1
34,g31,0,0,1
35,g32,5,2,5
36,g33,5,5,5
37,g34,5,5,5
38,g35,5,4,5
39,g36,5,5,5
40,g37,5,4,5
41,g38,5,5,5
42,g39,5,4,5
43,g40,5,5,5
44,g41,5,4,5
45,g42,5,5,5
46,g43,5,4,5
47,g44,5,5,5
48,g45,5,4,5
49,g46,5,5,5
50,g47,5,4,5
51,g48,5,5,5
52,g49,5,4,5
53,g50,5,5,5
54,g51,5,4,5
55,g52,5,5,5
56,g53,5,4,5
57,g54,5,5,5
58,g55,5,4,5
59,g56,5,5,5
60,g57,5,4,5
61,g58,5,5,5
62,g59,5,4,5
63,g60,5,5,5
64,g61,5,4,5
65,g62,5,5,5
66,g63,5,4,5
67,g64,5,4,5
68,g65,3,3,5
69,g66,4,4,5
70,g67,4,4,5
71,g68,4,4,5
72,g69,4,4,5
73,g70,4,4,5
74,g71,4,4,5
75,g72,4,4,5
76,g73,4,4,5
77,g74,4,4,5
78,g75,4,4,5
79,g76,4,4,5
80,g77,4,4,5
81,g78,4,4,5
82,g79,4,4,5
83,g80,4,4,5
84,g81,4,4,5
85,g82,4,4,5
86,g83,4,4,5
87,g84,4,4,5
88,g85,4,4,5
89,g86,4,4,5
90,g87,4,4,5
91,g88,4,4,5
92,g89,4,4,5
93,g90,4,4,5
94,g91,4,4,5
95,g92,4,4,5
96,g93,4,4,5
97,g94,4,4,5
98,g95,4,4,5
99,g96,4,4,5
100,g97,4,4,5
101,g98,3,3,4
102,g99,3,3,4
103,g100,3,3,4
104,g101,3,3,4
105,g102,3,3,4
106,g103,3,3,4
107,g104,3,3,4
108,g105,3,3,4
109,g106,3,3,4
110,g107,3,3,4
111,g108,3,3,4
112,g109,3,3,4
113,g110,3,3,4
114,g111,3,3,4
115,g112,3,3,4
116,g113,3,3,4
117,g114,3,3,4
118,g115,3,3,4
119,g116,3,3,4
120,g117,3,3,4
121,g118,3,3,4
122,g119,3,3,4
123,g120,3,3,4
124,g121,3,3,4
125,g122,3,3,4
126,g123,3,3,4
127,g124,3,3,4
128,g125,3,3,4
129,g126,3,3,4
130,g127,3,3,4
131,g128,3,3,4
132,g129,3,3,4
133,g130,5,3,3
134,g131,5,4,3
135,g132,5,3,3
136,g133,5,4,3
137,g134,5,3,3
